Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Lady Belladonna's Night Shades (2016), Comedy| Horror,2016/09/01,USA,5.6,88
E19 Virus (2017), Horror,2017/06/16,UK,2.4,-1
The Curse of Doctor Wolffenstein (2015), Horror,2015/02/28,Germany,5.1,-1
I Spill Your Guts (2012), Horror| Thriller,2012/04/01,USA,2.5,90
"Gangsters, Guns & Zombies (2012)", Comedy| Horror,2012/12/11,USA,3.9,88
The Slashening (2015), Comedy| Horror,2015/01/01,USA,4.2,82
Dark Roads 79 (2017), Horror,2017/01/14,USA,6.7,-1
Everyone Must Die! (2012), Horror,2012/09/23,USA,4.6,71
The Haunting of Ellie Rose (2015), Horror,2015/10/05,UK,2.7,80
Ice Cream (2014), Horror| Thriller,2014/07/12,India,4.6,144
Bayou Ghost Story (2017), Drama| Horror| Mystery| Thriller,2017/04/18,USA,4.2,73
Hazard Jack (2014), Horror,2014/05/13,USA,2.7,82
The Cutting Room (2015), Horror,2015/06/01,UK,3.9,75
Good Tidings (2016), Horror| Thriller,2016/12/06,USA,3.9,99
A House Is Not a Home (2015), Horror| Thriller,2015/09/07,USA,4.1,87
Cementerio General 2 (2016), Horror,2016/10/08,Peru,3.1,87
Reminiscence: The Beginning (2014), Horror| Romance| Thriller,2014/06/01,Turkey,6.4,100
Lost Lake (2012), Horror| Thriller,2013/11/13,Germany,3.4,85
The Blood Harvest (2016), Horror,2016/01/25,UK,3.7,-1
Jake's Road (2017), Action| Horror| Thriller,2017/09/23,USA,4,85
Apostle of Dracula (2012), Horror| Mystery,2017/08/08,USA,5.5,90
Bodies (2016), Horror,2016/05/05,USA,4.5,98
9 Days (2013), Comedy| Horror| Romance,2013/05/28,USA,3.7,83
Diggeri (2016), Horror,2016/08/11,Russia,4,80
Wild Men (2017), Adventure| Comedy| Horror,2017/02/07,USA,6.9,90
The Man in the Orange Jacket (2014), Horror| Mystery| Thriller,2015/02/27,Latvia,5.1,71
The Legend of Wasco (2015), Horror,2015/12/15,USA,2.8,81
Red Rain (2013), Horror| Sci-Fi,2013/12/06,India,6.8,101
Scream Park (2012), Horror,2016/04/25,UK,4.2,85
Dead Heart (2015), Drama| Horror| Thriller,2014/11/01,Argentina,6.3,84
Secret Santa (2015), Horror,2015/11/28,Canada,6.1,-1
"Silent Night, Bloody Night: The Homecoming (2013)", Horror,2013/06/10,UK,4.5,85
Masss (2015), Action| Comedy| Horror,2015/05/29,India,6.2,151
Scream for Summer (2017), Horror,2017/10/19,USA,-1,-1
The Visitor (2016), Drama| Horror| Thriller,2017/04/21,Romania,7.2,119
Knight of the Dead (2013), Action| Fantasy| Horror,2014/10/30,Kuwait,2.8,82
Shopping Tour (2012), Comedy| Horror| Thriller,2013/11/28,Russia,4.6,70
Corpse Party (2015), Horror,2015/08/01,Japan,5,93
Ceberrut (2016), Horror,2016/03/04,Turkey,3.3,-1
Preston Castle (2014), Horror,2014/10/07,USA,3.7,83
Happy Camp (2014), Horror| Thriller,2014/03/25,USA,3.6,75
Atlanta Vampire Movie (2017), Comedy| Horror,2017/10/31,USA,-1,110
Animal Among Us (2017), Horror| Thriller,2017/01/01,USA,-1,90
Stripped (2013), Comedy| Horror| Thriller,2013/05/14,USA,4.9,80
Tales from the Dark 1 (2013), Horror,2013/07/11,Hong Kong,5.6,114
Deadman Inferno (2015), Action| Horror,2015/05/16,Japan,5.6,108
The Emerging Past Director's Cut (2017), Horror| Mystery| Thriller,2017/03/28,USA,4.4,90
Deacon (2017), Drama| Horror| Mystery| Thriller,2017/10/13,USA,-1,-1
Swamp Freak (2017), Horror,2017/04/26,USA,2.9,75
The Spiritualist (2016), Drama| Horror| Mystery| Thriller,2016/10/31,USA,4.4,101
Bad Exorcists (2015), Comedy| Horror,2015/02/28,USA,6.4,85
Blackwater (2007), Action| Adventure| Horror,2012/07/14,USA,4.6,-1
The Evil Inside (2011), Horror,2013/08/01,USA,3.7,83
Lazarus: Apocalypse (2014), Crime| Horror| Mystery| Thriller,2015/09/01,USA,5.5,90
Varsity Blood (2014), Horror,2014/08/19,USA,3.9,87
Exile (2014), Horror| Sci-Fi,2014/04/12,USA,4.1,84
The Devil's Woods (2015), Horror,2015/10/24,Ireland,3.2,73
Muerte: Tales of Horror (2017), Fantasy| Horror| Sci-Fi,2017/01/01,USA,-1,-1
The Obsidian Curse (2016), Horror,2016/12/01,USA,-1,-1
Vamp Bikers Dos (2015), Horror,2015/09/19,USA,7.2,80
Cryptids (2017), Horror,2017/10/01,USA,-1,-1
Devils of War (2013), Action| Horror,2013/04/15,UK,2,74
Shane Ryan's Faces of Snuff (2016), Crime| Horror| Mystery| Thriller,2016/11/22,USA,6.8,136
The Fiancé (2016), Horror,2016/11/11,USA,3.6,79
Cuentos De Camino (2017), Horror,2017/07/12,USA,-1,67
Dark Feed (2013), Horror,2013/03/18,USA,3.3,-1
Blood Redd (2015), Horror,2015/12/03,Germany,2.8,-1
The Mildew from Planet Xonader (2015), Action| Horror| Sci-Fi,2015/12/15,USA,6.1,85
Hooked Up (2017), Horror,2017/01/01,USA,-1,-1
Acid Girls (2014), Horror| Thriller,2014/01/01,USA,5.9,90
Miss Christina (2013), Horror| Mystery,2013/11/01,Romania,6.9,101
Abandoned Dead (2015), Crime| Horror| Thriller,2015/11/04,USA,2.5,77
Chudail Story (2016), Horror,2016/05/13,India,2.9,100
The Devil's Business (2011), Horror,2012/08/17,UK,5.3,69
Hermit: Monster Killer (2016), Adventure| Comedy| Horror,2016/10/15,Mexico,6,-1
Return of the Dead (2016), Horror,2016/04/12,USA,6.5,-1
Open Wound (2016), Drama| Horror,2016/09/29,Serbia,5.7,72
Exhume (2017), Horror,2017/08/25,UK,5.8,78
Los inocentes (2013), Horror,2014/04/24,South Korea,4.6,65
Decay (2012), Horror,2012/12/08,UK,3.8,76
Scarred (2013), Horror,2013/09/05,USA,5.1,86
Atelophobia (2015), Horror,2015/10/08,USA,7.7,-1
Sming (2014), Action| Drama| Horror,2014/08/21,USA,5.6,105
Alien Domicile (2017), Horror,2017/03/30,USA,3.9,88
24 Hours to Die (2016), Drama| Horror| Sci-Fi,2016/06/12,Ireland,4.7,84
Blood Demon Rising (2017), Horror| Thriller,2017/02/17,USA,4.9,93
There Are Monsters (2013), Horror,2013/09/13,Canada,5.1,90
Guilty Pleasures (2017), Action| Fantasy| Horror| Mystery| Romance,2017/10/20,USA,-1,-1
Buck Wild (2014), Comedy| Horror,2014/03/18,USA,4.7,96
The Devil's Dozen (2013), Horror| Mystery| Thriller,2013/02/01,USA,3.5,86
Carl (2012), Horror| Thriller,2012/04/29,USA,2.8,-1
Ghost Theater (2015), Horror,2015/11/21,Japan,4.9,99
Dream Nightmare (2016), Fantasy| Horror,2016/12/30,USA,8,75
Dark Beacon (2017), Horror| Thriller,2017/10/13,USA,-1,-1
The Watchers (2013), Horror| Mystery| Thriller,2013/11/01,USA,4.9,120
The Boogeyman (2014), Drama| Horror| Thriller,2014/09/07,USA,-1,45
Death-Scort Service (2015), Horror,2015/10/13,USA,5.9,79
Party Night (2017), Horror,2017/04/28,USA,7.7,-1
American Guinea Pig: Sacrifice (2017), Horror,2017/03/01,Italy,7,-1
Irrational Fear (2017), Horror,2017/01/01,USA,-1,-1
The Pool (2014), Horror,2014/05/01,Netherlands,5.5,-1
Sadie Clove (2013), Drama| Horror| Mystery| Thriller,2013/10/25,USA,-1,90
P.O.E.: Project of Evil (2012), Horror,2012/11/21,Italy,3,92
Slasher House (2012), Horror,2013/04/29,UK,3.6,92
Cin Kuyusu (2015), Horror,2015/11/06,Turkey,5.9,79
Wake the Dead (2017), Horror,2017/10/27,USA,5.2,82
Malignant (2013), Horror| Sci-Fi| Thriller,2014/05/22,USA,4.4,85
Hooker with a Hacksaw (2017), Horror,2017/08/05,USA,5.4,-1
Slaughter Daughter (2012), Horror,2012/01/01,USA,4.4,77
Hangman's Game (2015), Horror| Mystery| Thriller,2016/05/16,Colombia,3.6,87
Fright Fest (2017), Horror,2017/01/01,USA,-1,-1
Nazi Vengeance (2014), Horror| Thriller,2015/05/05,USA,2.5,97
Sunburn (2017), Horror| Mystery| Thriller,2017/10/01,USA,-1,85
Germ (2013), Action| Drama| Horror| Sci-Fi,2013/03/12,USA,3.7,80
Terrordactyl (2016), Action| Comedy| Horror,2016/06/16,USA,4.3,95
Sargad (2017), Horror,2017/08/04,Sweden,7.8,-1
Love of my Life (2013), Horror| Thriller,2013/11/10,USA,3.4,96
Scream: Generations (2012), Horror,2012/01/06,USA,7.1,90
Reel Nightmare (2017), Fantasy| Horror| Mystery,2017/02/07,USA,3.8,78
Psychedelia (2016), Fantasy| Horror| Sci-Fi| Thriller,2016/06/02,USA,8.6,73
Sadako 2 3D (2013), Horror,2013/08/30,Japan,4.7,96
The Break-In (2016), Horror| Mystery| Thriller,2016/02/05,USA,4.3,72
Seance: The Summoning (2011), Horror| Thriller,2012/10/02,USA,3.5,85
Severed Road (2017), Horror,2017/10/13,USA,-1,-1
The Door (2014), Horror,2014/10/14,Canada,4.5,-1
I Love You to Death (2012), Drama| Horror| Romance,2013/02/19,USA,4.2,100
The Boundary (2014), Action| Crime| Drama| Horror| Mystery| Thriller,2014/11/06,China,4.2,104
Üç Harfliler 2: Hablis (2015), Horror,2015/08/14,Turkey,3.3,104
Autumn's End (2015), Horror| Mystery| Thriller,2016/04/01,USA,6.3,80
Invoked (2015), Horror| Mystery| Thriller,2017/09/05,USA,3.4,85
The Inflicted (2012), Horror| Thriller,2014/04/30,Philippines,3.8,87
To Jennifer (2013), Horror| Thriller,2013/10/09,USA,5.4,76
Black Forest (2015), Horror,2015/01/31,Canada,4.4,-1
The Black Tape (2014), Crime| Horror| Mystery| Thriller,2015/11/13,USA,7.6,92
Meet Me There (2014), Drama| Horror| Thriller,2014/04/04,USA,4.6,93
Kristen (2015), Horror| Thriller,2015/09/28,Netherlands,6.4,86
Ao Oni: The Animation (2017), Animation| Horror| Mystery,2017/02/12,USA,6.7,67
A Cry from Within (2014), Horror| Mystery| Thriller,2014/04/03,USA,3.9,96
Delusion (2016), Drama| Horror| Mystery,2016/10/17,USA,6,85
Pretty Fine Things (2016), Horror,2016/02/04,USA,-1,100
The Apostle (2012), Animation| Horror,2015/04/23,Netherlands,7,-1
The Owl (2014), Drama| Horror| Thriller,2014/06/01,USA,6.1,114
E: The Movie (2017), Horror| Thriller,2017/08/18,India,7.4,122
Quadrant 9EV9 (2016), Action| Horror| Sci-Fi| Thriller,2016/03/01,USA,3.5,88
Dead Weight (2012), Drama| Horror| Thriller,2012/03/30,USA,5.3,89
Trophy Heads (2014), Horror,2014/06/04,USA,5,87
The Evil Gene (2015), Horror| Thriller,2015/09/01,USA,3.7,78
Rumah Gurita (2014), Drama| Horror| Mystery| Romance| Thriller,2014/10/30,Indonesia,8,106
Backwater (2013), Horror| Mystery| Thriller,2013/04/01,USA,6,94
Badoet (2015), Horror| Thriller,2015/11/12,Indonesia,7.4,-1
Tales from the Dark Part 2 (2013), Horror,2013/01/01,Hong Kong,5.6,90
Grindsploitation 3: Video Nasty (2017), Crime| Horror,2017/10/31,UK,-1,-1
Speed Demons (2012), Horror,2012/01/01,USA,4.3,-1
Anonymous Zombie (2017), Horror,2017/10/01,Canada,-1,-1
The Rakugo Movie (2012), Comedy| Crime| Drama| Horror,2013/04/06,Japan,8.3,110
Daylight (2013), Horror| Mystery| Thriller,2013/08/24,UK,4.2,97
Collective: Unconscious (2016), Drama| Horror| Mystery| Thriller,2016/03/13,USA,6.9,77
But Deliver Us from Evil (2017), Horror| Thriller,2017/04/27,USA,7.6,109
The Demonic Tapes (2017), Horror,2017/05/12,UK,4.2,71
A Capital dos Mortos 2: Mundo Morto (2015), Drama| Horror,2015/05/17,Brazil,7.4,71
Samuel's Game (2014), Horror| Mystery| Thriller,2014/09/20,USA,7.1,80
The Beckoning (2013), Horror,2013/10/31,USA,5.8,65
Swarm of the Snakehead (2006), Comedy| Horror| Sci-Fi,2016/07/01,USA,3.8,95
Olalla (2015), Drama| Horror,2015/01/29,Bolivia,5,94
Pizza II: Villa (2013), Horror| Thriller,2013/11/14,India,6.6,102
Malady (2015), Drama| Horror| Mystery,2017/07/11,USA,9,93
MSG the Warrior: Lion Heart (2016), Adventure| Comedy| Crime| Drama| Horror,2016/10/07,India,7.8,120
Grafir & Bein (2016), Drama| Horror| Thriller,2016/01/01,Iceland,4.8,82
Bad Behaviour (2010), Horror| Thriller,2013/07/01,USA,3.9,90
Survivors (2015), Drama| Horror| Thriller,2015/10/18,USA,5.8,92
Rows (2015), Fantasy| Horror| Mystery,2015/09/29,USA,4.2,84
Molly Crows (2013), Horror,2014/04/05,UK,7.3,96
Creepers (2014), Horror,2014/10/01,USA,5.8,93
The Devil Incarnate (2013), Drama| Fantasy| Horror| Sci-Fi| Thriller,2014/06/18,Philippines,3.4,93
Random Acts of Violence (2012), Comedy| Crime| Horror,2013/01/23,France,5.8,86
Raw Focus (2017), Horror,2017/01/01,USA,-1,-1
Last Bus (2016), Horror| Mystery,2016/01/15,India,7,123
Rum (2017), Horror,2017/02/17,India,5.3,131
The Tunche (2017), Horror,2017/07/28,Peru,-1,-1
