Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
The Moleman of Belmont Avenue (2013), Comedy| Horror,10-Sep-13,USA,5.3,
Blind Sun (2015), Horror| Mystery,20-Apr-16,France,5.6,88 min
HazMat (2013), Horror| Thriller,11-Mar-14,USA,3.8,80 min
Elliot (2017), Fantasy| Horror| Sci-Fi,2017,USA,,
Dogged (2017), Horror,2017,UK,,116 min
Siyaah.. (2013), Horror| Thriller,15-Mar-13,Pakistan,6.7,
The Lurking (2015), Horror,10-Dec-15,USA,6,61 min
La Petite Mort II (2014), Horror| Thriller,14-Sep-14,Germany,3.6,90 min
Hotel de Sade (2013), Drama| Horror| Thriller,4-Dec-13,Taiwan,4.3,100 min
Brutal (2014), Action| Drama| Horror| Sci-Fi| Sport,5-Jan-14,USA,2.9,90 min
Hitler Lives! (2017), Horror,1-Jun-17,USA,,
Not Another Zombie Movie....About the Living Dead (2014), Action| Comedy| Horror,31-Oct-14,USA,5.4,79 min
Grindsploitation 2: The Lost Reels (2016), Horror,31-Oct-16,USA,7.3,
Billy's Got a Bad Brain (2017), Comedy| Horror| Sci-Fi,15-Oct-17,USA,,76 min
Attila (2013), Action| Horror| Thriller,31-Dec-13,USA,1.9,85 min
Vilsen (2016), Action| Crime| Drama| Horror| Thriller,17-Oct-16,Sweden,6.4,
Ghost (2012), Horror,13-Jan-12,India,2.3,118 min
Skookum: The Hunt for Bigfoot (2016), Horror,1-Dec-16,USA,5.3,100 min
Beautiful Prison (2016), Drama| Horror| Romance| Thriller,12-Jul-16,USA,4.4,83 min
Willa (2012), Drama| Horror| Romance,28-Jun-13,USA,6.4,82 min
Exit to Hell (2013), Action| Horror| Thriller,5-Nov-13,USA,3.4,81 min
Kimmy Dora and the Temple of Kiyeme (2012), Comedy| Horror,13-Jun-12,Philippines,6.4,105 min
Home Video (2015), Horror,15-Oct-15,USA,2.3,80 min
RIP (2017), Comedy| Horror,12-Oct-17,Spain,8.7,16 min
Lady Belladonna's Night Shades (2016), Comedy| Horror,1-Sep-16,USA,5.6,88 min
E19 Virus (2017), Horror,16-Jun-17,UK,2.4,
The Curse of Doctor Wolffenstein (2015), Horror,28-Feb-15,Germany,5.1,
I Spill Your Guts (2012), Horror| Thriller,1-Apr-12,USA,2.5,90 min
"Gangsters, Guns & Zombies (2012)", Comedy| Horror,11-Dec-12,USA,3.9,88 min
The Slashening (2015), Comedy| Horror,2015,USA,4.2,82 min
Dark Roads 79 (2017), Horror,14-Jan-17,USA,6.7,
Everyone Must Die! (2012), Horror,23-Sep-12,USA,4.6,71 min
The Haunting of Ellie Rose (2015), Horror,5-Oct-15,UK,2.7,80 min
Ice Cream (2014), Horror| Thriller,12-Jul-14,India,4.6,144 min
