Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Motivational Growth (2013), Comedy| Drama| Fantasy| Horror,9-Nov-13,USA,5.9,104 min
3G - A Killer Connection (2013), Horror| Sci-Fi| Thriller,15-Mar-13,India,3.6,125 min
Black Eyed Children: Let Me In (2015), Horror,1-Jan-15,USA,3,69 min
Dark Highlands (2017), Horror,2017,UK,,
3 AM: A Paranormal Experience (2014), Horror| Romance,26-Sep-14,India,6.3,103 min
Aliff Dalam 7 Dimensi (2016), Action| Horror| Romance,8-Sep-16,Malaysia,6.1,100 min
Slash 3 (2015), Drama| Horror| Thriller,24-Jul-15,USA,7.7,124 min
Media Studies (2017), Horror,10-Jul-17,USA,4.6,71 min
Bodom (2014), Horror| Mystery| Thriller,13-Dec-14,Hungary,5.4,65 min
The Amazing Adventures of the Living Corpse (2012), Animation| Action| Fantasy| Horror,14-Jul-12,USA,3.7,88 min
Creep Van (2012), Horror,20-Jul-12,Hungary,4,80 min
Inside Ben (2017), Drama| Horror| Sci-Fi| Thriller,25-Feb-17,USA,4.2,88 min
Slaughter Creek (2011), Drama| Horror,29-Apr-13,UK,3.2,94 min
Ripper (2016), Fantasy| Horror| Mystery| Thriller,8-May-17,UK,2.6,88 min
Bigfoot vs. D.B. Cooper (2014), Horror,1-Jul-14,USA,2.5,77 min
Never Open the Door (2014), Horror| Sci-Fi,1-Dec-14,USA,7.5,64 min
Aatma (2013), Drama| Horror| Thriller,22-Mar-13,India,3.6,94 min
Night of the Naked Dead (2012), Horror| Mystery| Thriller,1-Nov-12,USA,2.3,87 min
The Owl (2014), Drama| Horror| Thriller,1-Jun-14,USA,6.1,114 min
60 Seconds to Die (2016), Horror,31-Oct-16,USA,6.8,
407 Dark Flight 3D (2012), Horror,22-Mar-12,Thailand,4.2,
Hell Mountain (2016), Horror,2016,USA,9.2,92 min
Restraint (2017), Horror| Thriller,8-Oct-17,USA,,95 min
Warning Shadows (1923), Drama| Fantasy| Horror| Mystery| Romance,29-Nov-16,Germany,7,90 min
Reel (2015), Horror,4-Oct-15,Canada,7.5,79 min
Sickhouse (2016), Horror| Thriller,1-Jun-16,USA,4,68 min
Night of the Babysitter (2017), Crime| Horror,2017,USA,,
The Gateway (2015), Horror| Mystery| Sci-Fi,4-Oct-15,USA,4.8,74 min
Devil's Deal (2013), Drama| Horror| Thriller| Western,3-Mar-13,USA,2.6,101 min
The Hybrids Family (2015), Adventure| Comedy| Family| Horror,1-Oct-16,USA,7,95 min
?: A Question Mark (2012), Horror| Mystery| Thriller,17-Feb-12,India,5.5,82 min
Ghosts in the Machine (2016), Fantasy| Horror| Mystery| Sci-Fi,11-Oct-16,USA,3.7,83 min
The Hospital (2013), Horror,15-Feb-13,USA,2.7,95 min
Wrath of the Crows (2013), Horror| Mystery| Thriller,2-May-13,USA,4.2,87 min
Gulyabani (2014), Comedy| Horror,28-Feb-14,Turkey,3.5,86 min
Suite 313 (2017), Action| Horror,13-Jul-17,Italy,6,63 min
Mangkukulob (2012), Horror,15-Jul-12,Philippines,5.6,120 min
Kampout: Director's Cut (2016), Horror,31-Oct-16,USA,,
Marshrut postroen (2016), Horror| Thriller,31-Mar-16,Russia,4.1,85 min
Armistice (2013), Horror| Thriller,7-Jan-14,USA,4.7,81 min
Inside: A Chinese Horror Story (2017), Horror,7-Apr-17,China,4.9,89 min
Exorcism (2014), Horror,18-Oct-14,UK,2.8,73 min
Fractured (2016), Horror| Thriller,2016,UK,8.1,80 min
Werewolves in Heat (2015), Comedy| Horror,8-Dec-15,USA,5.7,
Maya (2015), Horror| Thriller,17-Sep-15,India,7.8,141 min
Una Comedia Macabra (2017), Comedy| Horror,21-Sep-17,Peru,1,91 min
Alamet-i Kiyamet (2016), Horror,20-May-16,Turkey,7,88 min
The Shelter (2015), Drama| Horror| Thriller,28-Aug-15,UK,3.8,76 min
Dead Nude Girls (2013), Horror,15-May-13,Canada,6.8,
Raaz 3: The Third Dimension (2012), Horror| Mystery| Romance| Thriller,7-Sep-12,India,4,139 min
Desolation (2017), Drama| Horror| Thriller,21-Jun-17,USA,7.5,78 min
Tales of Poe (2014), Fantasy| Horror| Thriller,1-Aug-14,USA,6.8,120 min
3 A.M. 3D (2012), Horror,22-Nov-12,Thailand,5.5,96 min
Dabbe: Cin Çarpmasi (2013), Horror,2-Aug-13,Turkey,7.1,120 min
The Swimmers (2014), Drama| Horror,7-Aug-14,Thailand,6,115 min
We All Fall Down (2016), Adventure| Drama| Horror| Sci-Fi| Thriller,12-Aug-16,USA,2.7,81 min
Mark of Death (2017), Action| Fantasy| Horror| Thriller,21-Oct-17,USA,,80 min
#Slaughterhouse (2017), Action| Horror,1-Jul-17,USA,8.2,
The Mitchell Tapes (2010), Horror,29-Sep-17,USA,4.9,
Hollows Grove (2014), Horror,21-Oct-14,USA,5,81 min
The Last House on Cemetery Lane (2015), Horror,17-Feb-15,USA,3.5,82 min
Exorcism: Haunted Child (2015), Drama| Horror,8-May-15,Vietnam,6.6,90 min
Shark Week (2012), Action| Horror| Sci-Fi,4-Aug-12,USA,2.4,89 min
11-12-13 Rak Kan Ja Tai (2016), Comedy| Horror,31-Mar-16,Thailand,6.2,
Chupacabra Territory (2016), Horror,1-Mar-16,USA,6.8,90 min
6-5=2 (2013), Horror| Thriller,29-Nov-13,India,6.3,105 min
Dearest Sister (2016), Drama| Horror,21-Apr-17,Estonia,6.2,101 min
The Oregonian (2011), Horror| Mystery| Thriller,8-Jun-12,USA,4.2,81 min
Alarmed (2014), Horror| Thriller,2014,USA,3.4,90 min
Sisters of the Plague (2015), Drama| Horror| Mystery| Sci-Fi,2016,USA,3,80 min
Inside the Whore (2012), Horror,3-Oct-12,Norway,2.1,
From Jennifer (2017), Comedy| Horror| Thriller,26-Sep-17,USA,7.4,85 min
The Summoning (2014), Horror,13-Oct-14,USA,3.2,88 min
Beg (2011), Horror,2014,USA,5.3,
Bag Boy Lover Boy (2014), Comedy| Horror,3-Oct-14,USA,6.1,77 min
Potent Media's Sugar Skull Girls (2016), Comedy| Horror,1-Oct-16,USA,2.8,70 min
Chasing the Devil (2014), Horror,7-Mar-14,USA,5,84 min
Nine Miles Down (2009), Horror| Mystery| Sci-Fi| Thriller,28-Jun-12,South Korea,5.5,86 min
The Black Gloves (2017), Horror,28-Oct-17,UK,6.9,80 min
Bloodline (2013), Horror,27-Sep-13,USA,3.8,88 min
Raptor Ranch (2013), Action| Adventure| Horror| Sci-Fi,31-Oct-13,USA,3,90 min
The Museum Project (2016), Horror| Mystery,31-May-16,Australia,5.5,45 min
Legacy of Thorn (2016), Action| Horror,29-Feb-16,UK,5,97 min
Baby Blues (2013), Horror,2-Sep-14,USA,3.8,92 min
Death's Door (2015), Horror,29-Sep-15,USA,5.3,91 min
Scary Tales: Last Stop (2015), Horror,28-Mar-15,USA,5.4,82 min
Badlands of Kain (2016), Horror| Mystery| Thriller,5-Apr-16,USA,5.6,108 min
La cueva (2014), Horror,11-Jul-14,Spain,5.7,80 min
What Lies Beyond... The Beginning (2014), Comedy| Horror,7-Nov-14,USA,4.8,90 min
The Bates Haunting (2012), Horror| Thriller,5-Mar-14,Philippines,3.2,76 min
Take Me Home (2016), Horror,13-Apr-16,Thailand,5.7,94 min
The Kiss of a Killer (2013), Horror| Mystery| Thriller,3-Dec-13,USA,4.1,106 min
Bong of the Living Dead (2017), Horror,20-Oct-17,USA,9.4,
6 Degrees of Hell (2012), Horror,30-Sep-13,UK,2.6,90 min
Slice 2 (2011), Comedy| Horror,10-Jul-15,USA,,
The Thirteenth (2017), Horror,15-May-17,UK,9.4,72 min
Lipstick (2013), Horror,2-Nov-13,Japan,3.8,70 min
ThanksKilling 3 (2012), Comedy| Horror,13-Nov-12,USA,3.2,99 min
Vile Prey (2016), Horror,31-Oct-16,USA,8.8,
Black Eve (2010), Horror,7-Oct-14,Canada,4.1,78 min
Chemical Peel (2014), Horror| Thriller,14-Oct-14,USA,5.7,95 min
She Rises (2016), Horror,10-Oct-17,USA,6.6,90 min
Zero (2016), Fantasy| Horror| Mystery| Romance,25-Mar-16,India,6.6,159 min
Stab 7 (2017), Horror,31-Oct-17,USA,,
Siccin 3: Cürmü Ask (2016), Horror,2-Sep-16,Turkey,7.4,
Inner Demon (2014), Horror| Thriller,21-Apr-17,USA,4.7,84 min
Community (2012), Horror,5-Oct-12,USA,4.3,78 min
Ju-on: The Final Curse (2015), Horror,20-Jun-15,Japan,4.5,90 min
I Am a Ghost (2012), Drama| Horror| Thriller,1-Mar-14,USA,6.1,76 min
The Blind King (2016), Horror,14-Oct-16,Italy,3.1,90 min
Another (2012), Horror| Mystery,4-Aug-12,Japan,6,109 min
Convention of the Dead (2016), Action| Comedy| Horror,2016,UK,8.5,78 min
War of the Dead (2011), Action| Adventure| Horror| Sci-Fi| Thriller| War,4-May-12,Finland,4.1,86 min
The Temple II Birth into Dakness Full movie (2016), Action| Fantasy| Horror| Thriller,1-Oct-16,USA,5.3,51 min
Goal of the Dead (2014), Comedy| Horror,27-Feb-14,France,5.6,140 min
1974: La posesión de Altair (2016), Horror| Mystery,7-Apr-17,Mexico,5.7,82 min
Badder Ben: The Final Chapter (2017), Horror,2017,USA,,85 min
Bleeding Hearts (2015), Horror,3-Feb-15,USA,4.3,100 min
Rise of the Dinosaurs (2013), Action| Horror| Sci-Fi,10-Mar-16,South Korea,2.3,83 min
Witchcraft 14: Angel of Death (2016), Horror,1-Jan-17,USA,3.3,81 min
ZK: Elephant's Graveyard (2015), Horror,11-Feb-16,Germany,2.8,104 min
Unwanted (2017), Horror,9-Jan-17,USA,3.7,73 min
Summer of Blood (2014), Comedy| Horror,17-Apr-14,USA,5.4,86 min
Close Calls (2017), Horror| Thriller,2017,USA,,
Silent Retreat (2013), Horror| Mystery| Thriller,23-Jun-15,USA,4.2,95 min
Camp Massacre (2014), Comedy| Horror,12-Apr-14,USA,4,130 min
Seizure (2016), Horror,11-Apr-17,USA,5.9,86 min
Silent But Deadly (2012), Comedy| Horror,14-Feb-14,USA,5.9,99 min
Night Claws (2012), Horror,11-Dec-12,USA,2.5,83 min
Hack House (2017), Horror,14-Jun-17,USA,4.5,75 min
Dead Shadows (2012), Horror| Sci-Fi,2012,France,3.8,75 min
Wasteland (2013), Drama| Horror,1-Sep-15,USA,3.3,92 min
Club Lingerie (2014), Comedy| Horror| Mystery,31-Oct-14,USA,4.7,82 min
Cut! (2014), Horror| Mystery| Thriller,1-Feb-14,USA,6.4,101 min
Black Wake (2017), Horror| Sci-Fi| Thriller,2017,USA,,
100 Ghost Street: The Return of Richard Speck (2012), Horror,24-Jul-12,USA,4,84 min
Beaster Day: Here Comes Peter Cottonhell (2014), Comedy| Horror,1-Apr-14,USA,3.8,87 min
Aranmanai 2 (2016), Comedy| Horror,29-Jan-16,India,4.2,136 min
You Are Not Alone (2014), Horror| Thriller,22-Jun-14,USA,4.4,96 min
Battleground (2012), Action| Horror| Thriller,2012,Canada,4.3,85 min
Fetish Factory (2017), Comedy| Horror| Sci-Fi| Thriller,2017,USA,,71 min
The Crescent (2017), Horror| Mystery,7-Sep-17,Canada,6.7,99 min
The Wicked One (2017), Horror| Thriller,23-Apr-17,USA,5.3,91 min
The Trap (2015), Comedy| Horror,18-Dec-15,UK,5.8,90 min
Caught (2017), Horror,1-Feb-17,USA,7.8,
Killer Toon (2013), Crime| Horror| Thriller,27-Jun-13,South Korea,6.4,104 min
Tar (2017), Horror,2017,USA,,
Valley of Ditches (2017), Crime| Drama| Horror| Mystery| Thriller,21-Mar-17,USA,4,77 min
Bloodlands (2017), Drama| Horror| Thriller,25-Feb-17,UK,6.4,82 min
We're Not Alone (2015), Action| Comedy| Horror| Thriller,2015,USA,6.2,87 min
Vampire Boys 2: The New Brood (2013), Horror,29-Jan-13,USA,2.1,75 min
Devil's Night (2015), Horror,30-Oct-15,USA,7.7,80 min
The Last House (2015), Horror,2015,USA,3,91 min
Killer Rack (2015), Comedy| Horror| Musical,2015,USA,6.7,90 min
I Know You're in There (2016), Horror| Thriller,20-Oct-16,USA,4.4,84 min
Trace (2015), Horror,27-Oct-15,USA,3.4,90 min
Violent Shit: The Movie (2015), Horror,17-Jul-15,South Korea,2.3,82 min
Desecrated (2015), Horror| Thriller,6-Jan-15,USA,3.5,106 min
7 from Etheria (2017), Horror,2017,USA,,95 min
Frankenpimp's Revenge: The Romeo and Juliet Massacre (2016), Action| Fantasy| Horror| Sci-Fi| Thriller,26-Mar-16,Canada,4,
Conscious (2017), Drama| Horror| Mystery| Sci-Fi| Thriller,31-Oct-17,Australia,,70 min
Crawl or Die (2014), Horror| Sci-Fi| Thriller,12-Aug-14,USA,4.2,90 min
Legend of Hell (2012), Action| Horror| Mystery,4-Feb-12,Germany,2.5,85 min
Camp Killer (2016), Horror,25-May-16,USA,6.2,83 min
Strange Blood (2015), Horror,1-Apr-15,USA,3.1,80 min
Live Evil (2015), Horror,17-Oct-15,USA,3.6,95 min
Edge of Insanity (2017), Horror,5-Oct-17,USA,,
Patient (2016), Horror| Thriller,16-May-17,USA,5.2,94 min
Puti (2013), Drama| Horror| Mystery,18-Sep-13,Philippines,4.2,111 min
The Faith Community (2017), Horror,10-Oct-17,USA,6.9,
The Hexecutioners (2015), Horror,11-Jun-16,USA,4.2,95 min
Psychos (2017), Crime| Drama| Horror| Mystery| Thriller,17-Mar-17,USA,3.5,
3 Dead Trick or Treaters (2016), Horror,26-Nov-16,Canada,7.9,73 min
Bikini Swamp Girl Massacre (2014), Horror,29-Apr-14,USA,3.9,83 min
The Void (2016), Horror,8-Nov-16,USA,4.3,86 min
Game of Werewolves (2011), Comedy| Horror,13-Jul-12,Spain,6.1,98 min
4 Dead Girls: The Soul Taker (2012), Comedy| Horror,18-Aug-12,USA,2.4,95 min
Attack of the Morningside Monster (2014), Horror| Thriller,14-Jan-14,USA,4.7,93 min
Gutterballs 2: Balls Deep (2015), Horror,2-May-15,USA,7.1,
Daddy's Little Girl (2012), Horror| Thriller,2014,USA,5.8,107 min
Delivery: The Beast Within (2013), Horror| Mystery| Thriller,18-Jun-13,USA,5.4,84 min
Garden of Hedon (2011), Horror| Mystery,26-Apr-12,USA,4.9,119 min
Toxin (2015), Drama| Horror| Sci-Fi| Thriller,30-Jan-15,USA,2.8,77 min
Kataka (2017), Horror| Thriller,27-Oct-17,USA,8.7,107 min
The Unseen (2016), Action| Horror| Sci-Fi| Thriller,25-Oct-16,USA,6.4,108 min
Silent Screams (2015), Horror| Thriller,3-Apr-15,Argentina,6.8,73 min
The Forest (2016), Drama| Fantasy| Horror,9-Mar-16,USA,6.6,109 min
Seclusion (2015), Horror| Mystery| Thriller,23-Oct-15,USA,3.6,92 min
Archivo 253 (2015), Horror,5-Feb-15,Mexico,4,79 min
Haunting of Cellblock 11 (2014), Horror| Thriller,4-Mar-15,Philippines,4.3,85 min
Pieces of Talent (2014), Horror| Thriller,2012,USA,5.9,95 min
Dead Sushi (2012), Action| Comedy| Horror,19-Jan-13,Japan,5.8,
Hold Your Breath (2012), Horror,5-Oct-12,USA,3.2,87 min
The Garlock Incident (2012), Horror| Mystery| Thriller,15-Sep-17,USA,6,78 min
Deadly Intent (2016), Drama| Horror| Thriller,11-Apr-16,UK,3.7,82 min
Massacre on Aisle 12 (2016), Comedy| Horror,5-Nov-16,USA,4.4,83 min
Amityville: Evil Never Dies (2017), Horror,2017,USA,,
Blood of the Tribades (2016), Fantasy| Horror,20-Jan-17,USA,7,78 min
Taeter City (2012), Action| Horror| Sci-Fi| Thriller,15-Sep-12,Italy,5,72 min
Zomboobies! (2014), Comedy| Horror,2-Mar-14,USA,5.9,
The Last Witch (2015), Horror,1-Jan-16,Spain,6.6,94 min
Altar (2014), Horror| Mystery,17-Feb-15,USA,5.7,94 min
The Emeryville Experiments (2016), Horror| Thriller,20-Aug-16,USA,5.4,83 min
When the Devil Comes (2017), Horror,13-Oct-17,USA,5.8,
American Mummy (2014), Horror,21-Aug-14,USA,2.8,82 min
Alone (2015), Horror,16-Jan-15,India,3.7,133 min
Ju-on: The Beginning of the End (2014), Horror,28-Jun-14,Japan,5.3,91 min
Rabid Love (2013), Horror| Thriller,19-Apr-13,USA,3.3,90 min
Deadwood Falls (2017), Drama| Horror| Thriller,31-Oct-17,USA,,
Hotel Inferno 2: The Cathedral of Pain (2017), Action| Horror,29-Sep-17,UK,9.5,70 min
All the Devils Are Here (2014), Action| Horror,10-Oct-15,USA,6.7,94 min
The Levenger Tapes (2013), Horror| Thriller,1-Sep-13,USA,4.4,92 min
Star Leaf (2015), Horror| Sci-Fi| Thriller,6-Jun-15,USA,3.5,77 min
Dizlayk (2016), Comedy| Horror| Thriller,22-Sep-16,Russia,2,85 min
Lyle (2014), Drama| Horror,12-Jul-14,USA,6,65 min
The Woman in Unit 23B (2016), Drama| Horror| Romance,15-Oct-16,Philippines,6.8,95 min
Wither (2012), Horror| Thriller,9-Aug-13,Sweden,5,95 min
Second Origin (2015), Adventure| Horror| Sci-Fi,7-Oct-15,Spain,4.5,
House of Last Things (2013), Fantasy| Horror| Thriller,10-Oct-13,Ukraine,6.2,110 min
Dead Season (2012), Horror| Sci-Fi,5-Jul-12,USA,4.8,85 min
Lord of Tears (2013), Drama| Horror,25-Oct-13,UK,5.5,100 min
Our Evil (2017), Drama| Horror| Thriller,14-Sep-17,Belgium,7.1,92 min
The Devil in Me (2012), Horror,7-Aug-12,USA,4.2,98 min
100 Bloody Acres (2012), Comedy| Horror,1-Aug-13,Australia,6,91 min
Wichita (2016), Drama| Horror| Thriller,2017,USA,5,85 min
Night of the Living Dead 3D: Re-Animation (2012), Action| Horror,16-Oct-12,USA,3,
Piranha Sharks (2014), Comedy| Horror,8-Aug-14,USA,3.5,79 min
Vampire Cleanup Department (2017), Action| Comedy| Horror,16-Mar-17,Hong Kong,6.3,93 min
Ghost Goggles (2016), Adventure| Family| Horror,14-Feb-16,USA,6.4,95 min
Stalled (2013), Comedy| Horror,25-Mar-14,USA,4.7,84 min
Dead End (2014), Horror| Thriller,16-Oct-14,USA,7.1,95 min
Clown Kill (2016), Horror,1-Jan-17,USA,3.6,79 min
Ghosthunters (2016), Horror,5-Jul-16,USA,3.1,90 min
Creature (2014), Action| Horror| Sci-Fi,12-Sep-14,India,3.2,134 min
True Bloodthirst (2012), Action| Horror| Sci-Fi,14-Jul-12,USA,4.1,90 min
Ezra (2017), Horror| Mystery| Thriller,10-Feb-17,India,6.9,147 min
Mega Shark vs. Kolossus (2015), Action| Horror| Sci-Fi| Thriller,16-Jul-15,Germany,2.8,89 min
Living Dark: The Story of Ted the Caver (2013), Horror,2013,USA,5.5,112 min
Nilalang (2015), Action| Crime| Horror| Mystery| Thriller,10-Jan-17,Canada,8.1,90 min
Inhuman Resources (2012), Horror| Thriller,3-Nov-12,Japan,5.8,93 min
Crawlspace (2013), Horror| Thriller,4-Jan-13,USA,4.8,90 min
Bliss (2017), Drama| Horror| Mystery| Thriller,10-May-17,Philippines,8.3,
Decay (2015), Drama| Horror| Thriller,1-Nov-15,USA,4.5,98 min
Hush (2017), Horror,2017,UK,,
Children of the Night (2014), Horror,2-Feb-14,Argentina,5.1,105 min
The Child Remains (2017), Horror| Mystery| Thriller,15-Sep-17,Canada,5.3,112 min
Me and My Mates vs. The Zombie Apocalypse (2015), Comedy| Horror,3-Aug-15,Australia,4.8,90 min
Breeding Farm (2013), Horror,4-Jan-13,USA,3.9,85 min
After School Massacre (2014), Comedy| Horror,10-Jan-14,USA,3.4,73 min
Drink Me (2015), Drama| Horror,14-Apr-15,USA,3.9,74 min
Ajin Part 1: Shoudou (2015), Animation| Adventure| Horror| Mystery,27-Nov-15,Japan,7.9,106 min
House of Purgatory (2016), Horror| Thriller,21-Oct-16,USA,4.1,75 min
Anando Brahma (2017), Horror,17-Aug-17,India,7.1,123 min
Ritual (2013), Horror,31-Dec-13,USA,3.8,90 min
Female Zombie Riot (2016), Comedy| Horror,11-Apr-17,USA,2.6,95 min
Xtinction: Predator X (2014), Horror| Sci-Fi| Thriller,16-Apr-14,Belgium,2.7,
The Occupants (2014), Horror| Thriller,13-Jan-14,USA,3.7,79 min
Nightmare Code (2014), Horror| Sci-Fi| Thriller,2014,USA,5.3,90 min
A Suburban Fairytale (2017), Horror,2017,UK,,
Jurassic Prey (2015), Action| Horror| Sci-Fi,23-Jun-15,USA,1.7,87 min
Penumbra (2011), Horror| Thriller,2-Feb-12,Argentina,5.6,
Therapy (2016), Crime| Horror| Thriller,27-Jul-16,Canada,5.5,96 min
Rape Zombie: Lust of the Dead (2012), Horror,10-Sep-13,USA,3.9,73 min
The Yearly Harvest (2017), Horror| Mystery,6-Sep-17,USA,4.9,120 min
Therapy for a Vampire (2014), Comedy| Horror,19-Dec-14,Austria,6.4,87 min
Hollow Creek (2016), Crime| Horror| Mystery| Thriller,1-Feb-16,USA,4.1,116 min
Aranmanai (2014), Comedy| Horror,19-Sep-14,India,5.2,160 min
House of Salem (2016), Horror,27-Aug-16,UK,5.3,100 min
Crowsnest (2012), Horror| Mystery| Thriller,7-Sep-12,USA,3.8,84 min
Hypothermia (2010), Horror,2-Oct-12,USA,4,73 min
Night of the Living Dead: Genesis (2017), Horror,2017,USA,,
Hangar 10 (2014), Horror| Sci-Fi| Thriller,7-Nov-14,USA,3.6,83 min
The Circle (2017), Drama| Horror| Thriller,2017,UK,,93 min
Tear Me Apart (2015), Horror| Romance| Thriller,31-Oct-15,USA,4.7,86 min
Parasites (2016), Action| Horror| Thriller,24-Jan-17,USA,3.9,81 min
Dark Exorcism (2015), Drama| Horror| Mystery| Thriller,1-Oct-15,USA,4.3,81 min
Dangerous to Know (2017), Horror| Thriller,2017,Canada,,
Blood Shot (2013), Action| Comedy| Horror,29-Oct-13,Canada,3.3,96 min
Repentance (2013), Drama| Horror| Thriller,25-Sep-14,Kuwait,4.8,90 min
The Frankenstein Theory (2013), Horror| Sci-Fi,1-Mar-13,USA,4.2,87 min
Kakaka Aabathin Ariguri (2017), Horror,15-Sep-17,India,3.2,
Land Shark (2017), Action| Horror| Thriller,27-Jun-17,USA,2.5,80 min
12/12/12 (2012), Horror,4-Dec-12,USA,1.8,86 min
Haunting of the Innocent (2014), Horror| Thriller,1-Feb-14,USA,2.4,97 min
Killbillies (2015), Action| Horror| Thriller,1-Jul-15,Slovenia,5,83 min
Axe to Grind (2015), Horror| Thriller,3-Feb-15,USA,3.6,84 min
The Church (2017), Horror| Thriller,2017,USA,,87 min
Confessions (2016), Comedy| Drama| Horror| Music| Romance| Thriller,26-Jul-16,USA,5.1,88 min
May I Kill U? (2012), Comedy| Horror| Thriller,11-Jan-13,UK,5.6,87 min
The Midnight Game (2013), Horror| Thriller,2-Mar-13,USA,4.8,74 min
Apocalypse Cult (2014), Horror| Mystery,17-Sep-14,Australia,4.7,84 min
Bad Blood (2012), Horror| Mystery| Romance| Thriller,26-Oct-12,USA,5.7,
Elfie Hopkins: Cannibal Hunter (2012), Horror| Thriller,20-Apr-12,UK,4.6,89 min
Hidden in the Woods (2012), Action| Drama| Horror| Thriller,6-Mar-14,Chile,4.6,95 min
Dark Mountain (2013), Horror| Sci-Fi| Thriller,1-Aug-14,USA,4.4,82 min
Death Walks (2016), Comedy| Horror| Mystery| Thriller,1-Jul-16,UK,4.6,85 min
The Everglades Killings (2016), Horror,12-Nov-16,USA,3.6,80 min
Vampariah (2016), Horror,1-Feb-16,USA,7,90 min
Dead Ringer (2015), Horror| Thriller,1-Feb-15,USA,,
The Dead Sea (2014), Action| Horror| Thriller,10-Apr-14,USA,5.3,
Isis Rising: Curse of the Lady Mummy (2013), Horror,18-Jan-13,India,1.8,81 min
Crazy Bitches (2014), Comedy| Horror,26-Jun-14,USA,4.5,100 min
Der Samurai (2014), Fantasy| Horror| Thriller,30-Oct-14,Germany,5.7,79 min
Escape from Cannibal Farm (2017), Horror,9-Oct-17,Sweden,,100 min
Kill Zombie! (2012), Comedy| Horror,16-Feb-12,Netherlands,4.9,90 min
Scherzo Diabolico (2015), Comedy| Horror| Thriller,3-May-16,USA,5.4,91 min
The Entity (2015), Horror,22-Jan-15,Peru,4.4,80 min
The Unkindness of Ravens (2016), Drama| Horror,27-Aug-16,UK,5.2,85 min
Cam2Cam (2014), Horror| Thriller,22-Aug-14,USA,3.7,91 min
Sorority Slaughterhouse (2016), Horror,31-Oct-16,USA,3.3,85 min
Crying Wolf 3D (2015), Comedy| Horror,12-Dec-15,USA,2.4,91 min
On the Brain (2016), Crime| Horror| Thriller,12-Jul-16,USA,2.6,86 min
Greystone Park (2012), Horror| Thriller,2012,USA,3.3,83 min
Night of a 1000 Hours (2016), Horror,18-Nov-16,Austria,6.4,92 min
Demon Hole (2017), Comedy| Horror,3-Oct-17,USA,,81 min
The Theta Girl (2017), Action| Horror| Sci-Fi,13-Oct-17,USA,9.6,98 min
Stitch (2014), Horror,14-Feb-14,USA,3.3,94 min
Zombieworld (2015), Comedy| Horror,24-Feb-15,USA,3.5,100 min
Barricade (2012), Horror| Mystery| Thriller,25-Sep-12,USA,4.5,82 min
The Cannibal in the Jungle (2015), Crime| Horror| Sci-Fi,27-Apr-15,USA,6,84 min
The Alchemist Cookbook (2016), Drama| Horror,7-Oct-16,USA,4.8,82 min
Shadows of the Dead (2016), Horror,22-Oct-16,USA,4.4,87 min
Siccin 4 (2017), Horror,1-Sep-17,Turkey,7.4,93 min
The Coven (2015), Fantasy| Horror,16-Feb-15,UK,2.1,90 min
Alyce Kills (2011), Horror| Thriller,24-May-13,USA,5.5,90 min
Kantemir (2015), Horror| Thriller,18-Aug-15,USA,3.5,84 min
America's Most Haunted (2013), Comedy| Horror,29-Jan-14,Philippines,4.3,85 min
Night of the Living Dead (2014), Horror,24-Oct-14,USA,5.8,79 min
Red Eye (2017), Horror,2017,USA,7,
The Lost Episode (2012), Horror,16-Sep-14,USA,2.5,77 min
Raaz Reboot (2016), Horror| Mystery| Romance| Thriller,16-Sep-16,India,4.5,128 min
Killjoy's Psycho Circus (2016), Horror,30-Oct-16,USA,5.9,86 min
Unaware (2010), Horror| Sci-Fi| Thriller,12-Mar-13,USA,4.5,81 min
Fun Size Horror: Volume One (2015), Horror,1-May-15,USA,4.6,86 min
Flesh of the Void (2017), Horror,21-Oct-17,USA,9.5,77 min
Francesca (2015), Crime| Horror| Thriller,9-Oct-15,Spain,5.2,80 min
The Suffering (2016), Horror| Mystery| Thriller,29-Jul-16,USA,4.4,105 min
Scary or Die (2012), Horror,11-Sep-12,USA,4,94 min
Haunted (2017), Horror| Thriller,2017,USA,5.8,86 min
Horror Hotel the Movie (2016), Comedy| Horror| Sci-Fi,5-Jul-16,USA,5,103 min
I Stay with You (2014), Comedy| Drama| Horror,30-Oct-14,Ukraine,4.2,99 min
Ninja Apocalypse (2014), Action| Fantasy| Horror| Sci-Fi,5-Aug-14,USA,3.1,84 min
Needlestick (2017), Horror| Thriller,21-Feb-17,USA,3.6,85 min
Darkness Reigns (2017), Horror,15-Oct-17,USA,,
I Shall Never Return (2017), Adventure| Comedy| Horror| Mystery,10-Mar-17,USA,4.6,92 min
Feed the Devil (2015), Adventure| Horror| Thriller,6-Nov-15,Finland,3.6,95 min
Found Footage (2012), Horror| Mystery,7-Dec-12,Canada,5.7,
I Lived (2015), Horror| Mystery| Thriller,3-Jul-15,USA,4.5,97 min
My Little Sister (2016), Horror,30-Apr-16,USA,4.7,
Night of the Living 3D Dead (2013), Horror,7-Oct-13,UK,7.6,96 min
Bite School (2015), Horror,15-Sep-15,USA,6.1,90 min
Red Billabong (2016), Action| Comedy| Horror| Thriller,25-Aug-16,Australia,4,113 min
Infected (2013), Action| Horror| Sci-Fi,3-Oct-14,Canada,2.8,95 min
Forsaken (2016), Horror,2-Feb-16,USA,2.1,89 min
